target,status,dep_gmm_variable,y_min_lag,y_max_lag,x_min_lag,x_max_lag,w_iv_eq,covariance_type,nobs,n_instruments,instrument_names,matched_terms,max_abs_coef_diff,mean_abs_coef_diff,max_abs_se_diff,mean_abs_se_diff
fod_diff_endog_x_twostep,OK,y,0,1,0,1,diff,robust-clustered-two-step-uncorrected,1056,5,D:y:L0;D:y:L1;D:x:L0;D:x:L1;D:iv:w,3,0.2909713739871076,0.1704446571566943,0.4917971844939659,0.18443080095166062
fod_diff_endog_x_twostep,OK,y,0,1,0,1,none,robust-clustered-two-step-uncorrected,1056,5,D:y:L0;D:y:L1;D:x:L0;D:x:L1;D:iv:w,3,0.2909713739871076,0.1704446571566943,0.4917971844939659,0.18443080095166062
fod_diff_endog_x_twostep,OK,y,0,1,1,2,diff,robust-clustered-two-step-uncorrected,1056,5,D:y:L0;D:y:L1;D:x:L1;D:x:L2;D:iv:w,3,0.037944851352387676,0.01831762923896807,0.48417937870670447,0.1806412989414793
fod_diff_endog_x_twostep,OK,y,0,1,1,2,none,robust-clustered-two-step-uncorrected,1056,5,D:y:L0;D:y:L1;D:x:L1;D:x:L2;D:iv:w,3,0.037944851352387676,0.01831762923896807,0.48417937870670447,0.1806412989414793
fod_diff_endog_x_twostep,OK,y,0,1,2,3,diff,robust-clustered-two-step-uncorrected,1056,5,D:y:L0;D:y:L1;D:x:L2;D:iv:w;D:x:L3,3,0.03226003374805653,0.014308255359730127,0.4653173167148084,0.16763978018313686
fod_diff_endog_x_twostep,OK,y,0,1,2,3,none,robust-clustered-two-step-uncorrected,1056,5,D:y:L0;D:y:L1;D:x:L2;D:iv:w;D:x:L3,3,0.03226003374805653,0.014308255359730127,0.4653173167148084,0.16763978018313686
fod_diff_endog_x_twostep,OK,y,1,2,0,1,diff,robust-clustered-two-step-uncorrected,1056,5,D:y:L1;D:y:L2;D:x:L0;D:x:L1;D:iv:w,3,0.24200412253477654,0.09248988791545844,0.4947198617683843,0.18502164740195792
fod_diff_endog_x_twostep,OK,y,1,2,0,1,none,robust-clustered-two-step-uncorrected,1056,5,D:y:L1;D:y:L2;D:x:L0;D:x:L1;D:iv:w,3,0.24200412253477654,0.09248988791545844,0.4947198617683843,0.18502164740195792
fod_diff_endog_x_twostep,OK,y,1,2,1,2,diff,robust-clustered-two-step-uncorrected,1056,5,D:y:L1;D:y:L2;D:x:L1;D:x:L2;D:iv:w,3,0.8099475757307883,0.30078708033595447,0.027736797389136248,0.012051373788463743
fod_diff_endog_x_twostep,OK,y,1,2,1,2,none,robust-clustered-two-step-uncorrected,1056,5,D:y:L1;D:y:L2;D:x:L1;D:x:L2;D:iv:w,3,0.8099475757307883,0.30078708033595447,0.027736797389136248,0.012051373788463743
