entity,time,equation,original_index,error_terms
8,13,diff,125,"{13: 1.0, 12: -1.0}"
8,1,level,113,{1: 1.0}
8,2,level,114,{2: 1.0}
8,3,level,115,{3: 1.0}
8,4,level,116,{4: 1.0}
8,5,level,117,{5: 1.0}
8,6,level,118,{6: 1.0}
8,7,level,119,{7: 1.0}
8,8,level,120,{8: 1.0}
8,9,level,121,{9: 1.0}
8,10,level,122,{10: 1.0}
8,11,level,123,{11: 1.0}
8,12,level,124,{12: 1.0}
8,13,level,125,{13: 1.0}
9,2,diff,128,"{2: 1.0, 1: -1.0}"
9,3,diff,129,"{3: 1.0, 2: -1.0}"
9,4,diff,130,"{4: 1.0, 3: -1.0}"
9,5,diff,131,"{5: 1.0, 4: -1.0}"
9,6,diff,132,"{6: 1.0, 5: -1.0}"
9,7,diff,133,"{7: 1.0, 6: -1.0}"
9,8,diff,134,"{8: 1.0, 7: -1.0}"
9,9,diff,135,"{9: 1.0, 8: -1.0}"
9,10,diff,136,"{10: 1.0, 9: -1.0}"
9,11,diff,137,"{11: 1.0, 10: -1.0}"
9,12,diff,138,"{12: 1.0, 11: -1.0}"
9,13,diff,139,"{13: 1.0, 12: -1.0}"
9,1,level,127,{1: 1.0}
9,2,level,128,{2: 1.0}
9,3,level,129,{3: 1.0}
9,4,level,130,{4: 1.0}
9,5,level,131,{5: 1.0}
9,6,level,132,{6: 1.0}
9,7,level,133,{7: 1.0}
9,8,level,134,{8: 1.0}
9,9,level,135,{9: 1.0}
9,10,level,136,{10: 1.0}
9,11,level,137,{11: 1.0}
9,12,level,138,{12: 1.0}
9,13,level,139,{13: 1.0}
10,2,diff,142,"{2: 1.0, 1: -1.0}"
10,3,diff,143,"{3: 1.0, 2: -1.0}"
10,4,diff,144,"{4: 1.0, 3: -1.0}"
10,5,diff,145,"{5: 1.0, 4: -1.0}"
10,6,diff,146,"{6: 1.0, 5: -1.0}"
10,7,diff,147,"{7: 1.0, 6: -1.0}"
10,8,diff,148,"{8: 1.0, 7: -1.0}"
10,9,diff,149,"{9: 1.0, 8: -1.0}"
10,10,diff,150,"{10: 1.0, 9: -1.0}"
10,11,diff,151,"{11: 1.0, 10: -1.0}"
10,12,diff,152,"{12: 1.0, 11: -1.0}"
10,13,diff,153,"{13: 1.0, 12: -1.0}"
10,1,level,141,{1: 1.0}
10,2,level,142,{2: 1.0}
10,3,level,143,{3: 1.0}
10,4,level,144,{4: 1.0}
10,5,level,145,{5: 1.0}
10,6,level,146,{6: 1.0}
10,7,level,147,{7: 1.0}
10,8,level,148,{8: 1.0}
10,9,level,149,{9: 1.0}
10,10,level,150,{10: 1.0}
10,11,level,151,{11: 1.0}
10,12,level,152,{12: 1.0}
10,13,level,153,{13: 1.0}
11,2,diff,156,"{2: 1.0, 1: -1.0}"
11,3,diff,157,"{3: 1.0, 2: -1.0}"
11,4,diff,158,"{4: 1.0, 3: -1.0}"
11,5,diff,159,"{5: 1.0, 4: -1.0}"
11,6,diff,160,"{6: 1.0, 5: -1.0}"
11,7,diff,161,"{7: 1.0, 6: -1.0}"
11,8,diff,162,"{8: 1.0, 7: -1.0}"
11,9,diff,163,"{9: 1.0, 8: -1.0}"
11,10,diff,164,"{10: 1.0, 9: -1.0}"
11,11,diff,165,"{11: 1.0, 10: -1.0}"
11,12,diff,166,"{12: 1.0, 11: -1.0}"
11,13,diff,167,"{13: 1.0, 12: -1.0}"
11,1,level,155,{1: 1.0}
11,2,level,156,{2: 1.0}
11,3,level,157,{3: 1.0}
11,4,level,158,{4: 1.0}
11,5,level,159,{5: 1.0}
11,6,level,160,{6: 1.0}
11,7,level,161,{7: 1.0}
11,8,level,162,{8: 1.0}
11,9,level,163,{9: 1.0}
11,10,level,164,{10: 1.0}
11,11,level,165,{11: 1.0}
11,12,level,166,{12: 1.0}
11,13,level,167,{13: 1.0}
12,2,diff,170,"{2: 1.0, 1: -1.0}"
12,3,diff,171,"{3: 1.0, 2: -1.0}"
12,4,diff,172,"{4: 1.0, 3: -1.0}"
12,5,diff,173,"{5: 1.0, 4: -1.0}"
12,6,diff,174,"{6: 1.0, 5: -1.0}"
12,7,diff,175,"{7: 1.0, 6: -1.0}"
12,8,diff,176,"{8: 1.0, 7: -1.0}"
12,9,diff,177,"{9: 1.0, 8: -1.0}"
12,10,diff,178,"{10: 1.0, 9: -1.0}"
12,11,diff,179,"{11: 1.0, 10: -1.0}"
12,12,diff,180,"{12: 1.0, 11: -1.0}"
12,13,diff,181,"{13: 1.0, 12: -1.0}"
12,1,level,169,{1: 1.0}
12,2,level,170,{2: 1.0}
12,3,level,171,{3: 1.0}
12,4,level,172,{4: 1.0}
12,5,level,173,{5: 1.0}
12,6,level,174,{6: 1.0}
12,7,level,175,{7: 1.0}
12,8,level,176,{8: 1.0}
12,9,level,177,{9: 1.0}
12,10,level,178,{10: 1.0}
12,11,level,179,{11: 1.0}
12,12,level,180,{12: 1.0}
12,13,level,181,{13: 1.0}
13,2,diff,184,"{2: 1.0, 1: -1.0}"
13,3,diff,185,"{3: 1.0, 2: -1.0}"
13,4,diff,186,"{4: 1.0, 3: -1.0}"
13,5,diff,187,"{5: 1.0, 4: -1.0}"
13,6,diff,188,"{6: 1.0, 5: -1.0}"
13,7,diff,189,"{7: 1.0, 6: -1.0}"
13,8,diff,190,"{8: 1.0, 7: -1.0}"
13,9,diff,191,"{9: 1.0, 8: -1.0}"
13,10,diff,192,"{10: 1.0, 9: -1.0}"
13,11,diff,193,"{11: 1.0, 10: -1.0}"
13,12,diff,194,"{12: 1.0, 11: -1.0}"
13,13,diff,195,"{13: 1.0, 12: -1.0}"
13,1,level,183,{1: 1.0}
13,2,level,184,{2: 1.0}
13,3,level,185,{3: 1.0}
13,4,level,186,{4: 1.0}
13,5,level,187,{5: 1.0}
13,6,level,188,{6: 1.0}
13,7,level,189,{7: 1.0}
13,8,level,190,{8: 1.0}
13,9,level,191,{9: 1.0}
13,10,level,192,{10: 1.0}
13,11,level,193,{11: 1.0}
13,12,level,194,{12: 1.0}
13,13,level,195,{13: 1.0}
14,2,diff,198,"{2: 1.0, 1: -1.0}"
14,3,diff,199,"{3: 1.0, 2: -1.0}"
14,4,diff,200,"{4: 1.0, 3: -1.0}"
14,5,diff,201,"{5: 1.0, 4: -1.0}"
14,6,diff,202,"{6: 1.0, 5: -1.0}"
14,7,diff,203,"{7: 1.0, 6: -1.0}"
14,8,diff,204,"{8: 1.0, 7: -1.0}"
14,9,diff,205,"{9: 1.0, 8: -1.0}"
14,10,diff,206,"{10: 1.0, 9: -1.0}"
14,11,diff,207,"{11: 1.0, 10: -1.0}"
14,12,diff,208,"{12: 1.0, 11: -1.0}"
14,13,diff,209,"{13: 1.0, 12: -1.0}"
14,1,level,197,{1: 1.0}
14,2,level,198,{2: 1.0}
14,3,level,199,{3: 1.0}
14,4,level,200,{4: 1.0}
14,5,level,201,{5: 1.0}
14,6,level,202,{6: 1.0}
14,7,level,203,{7: 1.0}
14,8,level,204,{8: 1.0}
14,9,level,205,{9: 1.0}
14,10,level,206,{10: 1.0}
14,11,level,207,{11: 1.0}
14,12,level,208,{12: 1.0}
14,13,level,209,{13: 1.0}
15,2,diff,212,"{2: 1.0, 1: -1.0}"
15,3,diff,213,"{3: 1.0, 2: -1.0}"
15,4,diff,214,"{4: 1.0, 3: -1.0}"
15,5,diff,215,"{5: 1.0, 4: -1.0}"
15,6,diff,216,"{6: 1.0, 5: -1.0}"
15,7,diff,217,"{7: 1.0, 6: -1.0}"
15,8,diff,218,"{8: 1.0, 7: -1.0}"
15,9,diff,219,"{9: 1.0, 8: -1.0}"
15,10,diff,220,"{10: 1.0, 9: -1.0}"
15,11,diff,221,"{11: 1.0, 10: -1.0}"
15,12,diff,222,"{12: 1.0, 11: -1.0}"
15,13,diff,223,"{13: 1.0, 12: -1.0}"
15,1,level,211,{1: 1.0}
15,2,level,212,{2: 1.0}
15,3,level,213,{3: 1.0}
15,4,level,214,{4: 1.0}
15,5,level,215,{5: 1.0}
15,6,level,216,{6: 1.0}
15,7,level,217,{7: 1.0}
15,8,level,218,{8: 1.0}
15,9,level,219,{9: 1.0}
15,10,level,220,{10: 1.0}
15,11,level,221,{11: 1.0}
15,12,level,222,{12: 1.0}
15,13,level,223,{13: 1.0}
16,2,diff,226,"{2: 1.0, 1: -1.0}"
16,3,diff,227,"{3: 1.0, 2: -1.0}"
16,4,diff,228,"{4: 1.0, 3: -1.0}"
16,5,diff,229,"{5: 1.0, 4: -1.0}"
16,6,diff,230,"{6: 1.0, 5: -1.0}"
16,7,diff,231,"{7: 1.0, 6: -1.0}"
16,8,diff,232,"{8: 1.0, 7: -1.0}"
16,9,diff,233,"{9: 1.0, 8: -1.0}"
16,10,diff,234,"{10: 1.0, 9: -1.0}"
16,11,diff,235,"{11: 1.0, 10: -1.0}"
16,12,diff,236,"{12: 1.0, 11: -1.0}"
16,13,diff,237,"{13: 1.0, 12: -1.0}"
16,1,level,225,{1: 1.0}
16,2,level,226,{2: 1.0}
16,3,level,227,{3: 1.0}
16,4,level,228,{4: 1.0}
16,5,level,229,{5: 1.0}
16,6,level,230,{6: 1.0}
16,7,level,231,{7: 1.0}
16,8,level,232,{8: 1.0}
16,9,level,233,{9: 1.0}
16,10,level,234,{10: 1.0}
16,11,level,235,{11: 1.0}
16,12,level,236,{12: 1.0}
16,13,level,237,{13: 1.0}
17,2,diff,240,"{2: 1.0, 1: -1.0}"
17,3,diff,241,"{3: 1.0, 2: -1.0}"
17,4,diff,242,"{4: 1.0, 3: -1.0}"
17,5,diff,243,"{5: 1.0, 4: -1.0}"
17,6,diff,244,"{6: 1.0, 5: -1.0}"
17,7,diff,245,"{7: 1.0, 6: -1.0}"
17,8,diff,246,"{8: 1.0, 7: -1.0}"
17,9,diff,247,"{9: 1.0, 8: -1.0}"
17,10,diff,248,"{10: 1.0, 9: -1.0}"
17,11,diff,249,"{11: 1.0, 10: -1.0}"
17,12,diff,250,"{12: 1.0, 11: -1.0}"
17,13,diff,251,"{13: 1.0, 12: -1.0}"
17,1,level,239,{1: 1.0}
17,2,level,240,{2: 1.0}
17,3,level,241,{3: 1.0}
17,4,level,242,{4: 1.0}
17,5,level,243,{5: 1.0}
17,6,level,244,{6: 1.0}
17,7,level,245,{7: 1.0}
17,8,level,246,{8: 1.0}
17,9,level,247,{9: 1.0}
17,10,level,248,{10: 1.0}
17,11,level,249,{11: 1.0}
17,12,level,250,{12: 1.0}
17,13,level,251,{13: 1.0}
18,2,diff,254,"{2: 1.0, 1: -1.0}"
18,3,diff,255,"{3: 1.0, 2: -1.0}"
18,4,diff,256,"{4: 1.0, 3: -1.0}"
18,5,diff,257,"{5: 1.0, 4: -1.0}"
18,6,diff,258,"{6: 1.0, 5: -1.0}"
18,7,diff,259,"{7: 1.0, 6: -1.0}"
18,8,diff,260,"{8: 1.0, 7: -1.0}"
18,9,diff,261,"{9: 1.0, 8: -1.0}"
18,10,diff,262,"{10: 1.0, 9: -1.0}"
18,11,diff,263,"{11: 1.0, 10: -1.0}"
18,12,diff,264,"{12: 1.0, 11: -1.0}"
18,13,diff,265,"{13: 1.0, 12: -1.0}"
18,1,level,253,{1: 1.0}
18,2,level,254,{2: 1.0}
18,3,level,255,{3: 1.0}
18,4,level,256,{4: 1.0}
18,5,level,257,{5: 1.0}
18,6,level,258,{6: 1.0}
18,7,level,259,{7: 1.0}
18,8,level,260,{8: 1.0}
18,9,level,261,{9: 1.0}
18,10,level,262,{10: 1.0}
18,11,level,263,{11: 1.0}
18,12,level,264,{12: 1.0}
18,13,level,265,{13: 1.0}
19,2,diff,268,"{2: 1.0, 1: -1.0}"
19,3,diff,269,"{3: 1.0, 2: -1.0}"
19,4,diff,270,"{4: 1.0, 3: -1.0}"
19,5,diff,271,"{5: 1.0, 4: -1.0}"
19,6,diff,272,"{6: 1.0, 5: -1.0}"
19,7,diff,273,"{7: 1.0, 6: -1.0}"
19,8,diff,274,"{8: 1.0, 7: -1.0}"
19,9,diff,275,"{9: 1.0, 8: -1.0}"
19,10,diff,276,"{10: 1.0, 9: -1.0}"
19,11,diff,277,"{11: 1.0, 10: -1.0}"
19,12,diff,278,"{12: 1.0, 11: -1.0}"
19,13,diff,279,"{13: 1.0, 12: -1.0}"
19,1,level,267,{1: 1.0}
19,2,level,268,{2: 1.0}
19,3,level,269,{3: 1.0}
19,4,level,270,{4: 1.0}
19,5,level,271,{5: 1.0}
19,6,level,272,{6: 1.0}
19,7,level,273,{7: 1.0}
