candidate_id,n_components,feature_design,min_samples_leaf,max_features,fold_1_rmse,fold_2_rmse,fold_3_rmse,mean_rmse,max_rmse,mean_pca_variance,selected
36,4,dynamic,8,1.0,0.24947691557616353,0.1895567092142654,0.08885657216077279,0.17596339898373392,0.24947691557616353,0.9992540957748791,False
37,5,current,2,0.8,0.24350787590734224,0.16674045577214458,0.08850665606038935,0.16625166257995871,0.24350787590734224,0.9996722361910448,False
38,5,current,2,1.0,0.24404972195098978,0.16248918543693794,0.09163530462032725,0.16605807066941833,0.24404972195098978,0.9996722361910448,False
39,5,current,4,0.8,0.25293280029525705,0.17403909588326474,0.09646645994799297,0.1744794520421716,0.25293280029525705,0.9996722361910448,False
40,5,current,4,1.0,0.25077346351185936,0.17011007435411263,0.0966745628615882,0.1725193669091867,0.25077346351185936,0.9996722361910448,False
41,5,current,8,0.8,0.2573319626856929,0.19138527698543234,0.11713162183277355,0.18861628716796627,0.2573319626856929,0.9996722361910448,False
42,5,current,8,1.0,0.2552648665263323,0.1881225177894107,0.1106294874184875,0.1846722905780768,0.2552648665263323,0.9996722361910448,False
43,5,dynamic,2,0.8,0.24770111875944284,0.1463907012723608,0.07767218875353697,0.15725466959511356,0.24770111875944284,0.9996722361910448,False
44,5,dynamic,2,1.0,0.24897736497593548,0.1517633472265701,0.07648168842079918,0.1590741335411016,0.24897736497593548,0.9996722361910448,False
45,5,dynamic,4,0.8,0.24437411730438305,0.14807557649117795,0.08142199413503926,0.1579572293102001,0.24437411730438305,0.9996722361910448,False
46,5,dynamic,4,1.0,0.24843020807470173,0.15272971363308546,0.08015367736907758,0.16043786635895493,0.24843020807470173,0.9996722361910448,False
47,5,dynamic,8,0.8,0.24192814075905847,0.16026671395342335,0.09269334821064232,0.16496273430770805,0.24192814075905847,0.9996722361910448,False
48,5,dynamic,8,1.0,0.24131277915442723,0.16032764542917963,0.08911847510027764,0.16358629989462817,0.24131277915442723,0.9996722361910448,False
49,6,current,2,0.8,0.1642698223598725,0.09708688924554723,0.09100321181910564,0.11745330780817513,0.1642698223598725,0.9999496677102714,False
50,6,current,2,1.0,0.15845202926813712,0.0938086636117745,0.08810909205237451,0.1134565949774287,0.15845202926813712,0.9999496677102714,False
51,6,current,4,0.8,0.1671949072554076,0.1064614006329699,0.099395147092478,0.12435048499361849,0.1671949072554076,0.9999496677102714,False
52,6,current,4,1.0,0.16029189813781217,0.09807593648331478,0.09357825301335251,0.11731536254482648,0.16029189813781217,0.9999496677102714,False
53,6,current,8,0.8,0.17422510214776193,0.131072074557662,0.11891332413073492,0.14140350027871962,0.17422510214776193,0.9999496677102714,False
54,6,current,8,1.0,0.16954002411394972,0.12254603925639306,0.10871098763428363,0.13359901700154211,0.16954002411394972,0.9999496677102714,False
55,6,dynamic,2,0.8,0.14118334912083802,0.09097617361635522,0.07611147531292749,0.10275699935004025,0.14118334912083802,0.9999496677102714,False
56,6,dynamic,2,1.0,0.13803362411255554,0.08771380592064709,0.07407190705221504,0.09993977902847256,0.13803362411255554,0.9999496677102714,False
57,6,dynamic,4,0.8,0.144994244342431,0.09270906365333416,0.08156457889773466,0.10642262896449994,0.144994244342431,0.9999496677102714,False
58,6,dynamic,4,1.0,0.1455209382162278,0.08916399266653825,0.07857434953045092,0.10441976013773897,0.1455209382162278,0.9999496677102714,False
59,6,dynamic,8,0.8,0.14800078502281167,0.10907677777839175,0.0904129236484535,0.11583016214988563,0.14800078502281167,0.9999496677102714,False
60,6,dynamic,8,1.0,0.14853364785138815,0.1056171650353349,0.08696011338470806,0.11370364209047702,0.14853364785138815,0.9999496677102714,False
61,8,current,2,0.8,0.11139740145012694,0.08433723789679953,0.08871772327230527,0.09481745420641058,0.11139740145012694,0.9999952820393881,False
62,8,current,2,1.0,0.10988919198052212,0.08270867587642358,0.08300613115467928,0.09186799967054167,0.10988919198052212,0.9999952820393881,False
63,8,current,4,0.8,0.11916548154820769,0.09002467319917883,0.0919170506555672,0.10036906846765124,0.11916548154820769,0.9999952820393881,False
64,8,current,4,1.0,0.11477931579989603,0.0878496105553298,0.08817687367641906,0.09693526667721497,0.11477931579989603,0.9999952820393881,False
65,8,current,8,0.8,0.13398915851916302,0.11299357566150008,0.1121640298584512,0.1197155880130381,0.13398915851916302,0.9999952820393881,False
66,8,current,8,1.0,0.1275696347338607,0.10951207832157628,0.10472941476098915,0.11393704260547538,0.1275696347338607,0.9999952820393881,False
67,8,dynamic,2,0.8,0.09938638300055823,0.07395902691958596,0.07456498201808646,0.08263679731274355,0.09938638300055823,0.9999952820393881,False
68,8,dynamic,2,1.0,0.1020956982213915,0.07354551503200436,0.06926678704292066,0.08163600009877219,0.1020956982213915,0.9999952820393881,True
69,8,dynamic,4,0.8,0.10455983624658124,0.07701046015033447,0.07827656016296489,0.08661561885329354,0.10455983624658124,0.9999952820393881,False
70,8,dynamic,4,1.0,0.10417670073067717,0.07742838886619849,0.07361780444742991,0.08507429801476851,0.10417670073067717,0.9999952820393881,False
71,8,dynamic,8,0.8,0.11523278509819569,0.09303125027537078,0.08836588036074727,0.09887663857810458,0.11523278509819569,0.9999952820393881,False
72,8,dynamic,8,1.0,0.1116355814895327,0.09225474868403599,0.08339548325943377,0.09576193781100083,0.1116355814895327,0.9999952820393881,False
